iter,lambda,winChanceThreshold,territoryfeatureweight,alpha,statevalue,randomchancethreshold,hinterlandfeatureweight,bestenemyfeatureweight,armiesfeatureweight,enemyreinforcementfeatureweight
83,0.5,0.5,-0.9068435204617235,0.05,1.6946354963119377,0.2,-0.09400369391048896,-0.20019679031894647,0.38321062940211403,0.2214931958400747
84,0.5,0.5,-0.9068435204617235,0.05,1.6946354963119377,0.2,-0.09400369391048896,-0.20019679031894647,0.38321062940211403,0.2214931958400747
85,0.5,0.5,-0.9068435204617235,0.05,1.9442864374732667,0.2,-0.09400369391048896,-0.20019679031894647,0.38321062940211403,0.2214931958400747
86,0.5,0.5,-0.9068435204617235,0.05,1.9442864374732667,0.2,-0.09400369391048896,-0.20019679031894647,0.38321062940211403,0.2214931958400747
87,0.5,0.5,-0.9068435204617235,0.05,1.9439453183477247,0.2,-0.09400369391048896,-0.20019679031894647,0.38321062940211403,0.2214931958400747
88,0.5,0.5,-0.9068435204617235,0.05,1.9439453183477247,0.2,-0.09400369391048896,-0.20019679031894647,0.38321062940211403,0.2214931958400747
89,0.5,0.5,-0.907306120046775,0.05,1.6347474224514573,0.2,-0.094042397057581,-0.19964533394588957,0.3827359109458578,0.21369362488760482
90,0.5,0.5,-0.907306120046775,0.05,1.6347474224514573,0.2,-0.094042397057581,-0.19964533394588957,0.3827359109458578,0.21369362488760482
91,0.5,0.5,-0.907306120046775,0.05,1.8705876404431865,0.2,-0.094042397057581,-0.19964533394588957,0.3827359109458578,0.21369362488760482
92,0.5,0.5,-0.907306120046775,0.05,1.8705876404431865,0.2,-0.094042397057581,-0.19964533394588957,0.3827359109458578,0.21369362488760482
93,0.5,0.5,-0.9077548889817635,0.05,1.5742125712050163,0.2,-0.09405553973681441,-0.19911578753441397,0.382277602185631,0.20623376237537375
94,0.5,0.5,-0.9077548889817635,0.05,1.5742125712050163,0.2,-0.09405553973681441,-0.19911578753441397,0.382277602185631,0.20623376237537375
95,0.5,0.5,-0.9077548889817635,0.05,1.8023819276918498,0.2,-0.09405553973681441,-0.19911578753441397,0.382277602185631,0.20623376237537375
96,0.5,0.5,-0.9077548889817635,0.05,1.8023819276918498,0.2,-0.09405553973681441,-0.19911578753441397,0.382277602185631,0.20623376237537375
97,0.5,0.5,-0.9081844826433082,0.05,1.5137790927597938,0.2,-0.09406775828433038,-0.19860726774209383,0.3818422707152317,0.19909423200187612
98,0.5,0.5,-0.9081844826433082,0.05,1.5137790927597938,0.2,-0.09406775828433038,-0.19860726774209383,0.3818422707152317,0.19909423200187612
