iter,reward,lossInTroops,exploration,estimatorAttack,estimatorOffset,targetOffset,totalNumTroops
171,10.0,1.0,0.0,1.0,87.12560494980588,83.65201878604256,330.0
172,-1.0,0.0,0.0,1.0,0.010759844013643289,0.010759844013643289,330.0
173,10.0,1.0,0.0,1.0,87.12529050604046,83.65171047177029,330.0
174,10.0,1.0,0.0,1.0,83.65140220879874,83.65140220879874,330.0
175,-1.0,0.0,0.0,1.0,0.08513317604673609,0.010763340425143418,330.0
176,-1.0,0.0,0.0,1.0,0.010764557467592802,0.010764557467592802,330.0
177,10.0,1.0,0.0,1.0,87.12486669218639,83.65129491949757,330.0
178,-1.0,0.0,0.0,1.0,0.010768053869430904,0.010768053869430904,330.0
179,-1.0,0.0,0.0,1.0,0.007088428843349997,0.010768053869430904,330.0
180,-1.0,0.0,0.0,1.0,0.010767235398715156,0.010767235398715156,330.0
181,-1.0,0.0,0.0,1.0,0.007089092496765004,0.010767235398715156,330.0
182,-1.0,0.0,0.0,1.0,0.010766417292240047,0.010766417292240047,330.0
183,10.0,2.0,0.0,1.0,87.12469949013683,83.65113097682634,330.0
184,-1.0,0.0,0.0,1.0,0.010769913686003085,0.010769913686003085,329.0
185,10.0,1.0,0.0,1.0,87.12438519712019,83.6508228105876,329.0
186,10.0,1.0,0.0,1.0,83.65051469557663,83.65051469557663,329.0
187,-1.0,0.0,0.0,1.0,0.08516149158312553,0.010773410072480198,329.0
188,-1.0,0.0,0.0,1.0,0.0107746274739679,0.0107746274739679,329.0
189,10.0,1.0,0.0,1.0,87.12396155332371,83.65040742535827,329.0
190,-1.0,0.0,0.0,1.0,0.010778123850793662,0.010778123850793662,329.0
191,-1.0,0.0,0.0,1.0,0.007080268208380676,0.010778123850793662,329.0
192,-1.0,0.0,0.0,1.0,0.010777300821851939,0.010777300821851939,329.0
193,-1.0,0.0,0.0,1.0,0.00708093486250259,0.010777300821851939,329.0
194,-1.0,0.0,0.0,1.0,0.010776478159481495,0.010776478159481495,329.0
195,10.0,1.0,0.0,1.0,87.12379525139013,83.65024436537442,330.0
196,-1.0,0.0,0.0,1.0,0.010779974528277721,0.010779974528277721,330.0
197,10.0,1.0,0.0,1.0,87.12348110877642,83.64993634682932,330.0
198,10.0,1.0,0.0,1.0,83.64962837943932,83.64962837943932,330.0
199,-1.0,0.0,0.0,1.0,0.08518977377589405,0.010783470889797265,330.0
200,-1.0,0.0,0.0,1.0,0.010784688649718113,0.010784688649718113,330.0
201,10.0,1.0,0.0,1.0,87.12305763465923,83.64952112827146,330.0
202,-1.0,0.0,0.0,1.0,0.010788185001596865,0.010788185001596865,330.0
203,-1.0,0.0,0.0,1.0,0.007072123221796114,0.010788185001596865,330.0
204,-1.0,0.0,0.0,1.0,0.010787357415369314,0.010787357415369314,330.0
205,-1.0,0.0,0.0,1.0,0.007072792869751508,0.010787357415369314,330.0
206,-1.0,0.0,0.0,1.0,0.010786530198046339,0.010786530198046339,330.0
207,10.0,1.0,0.0,1.0,87.12289223171386,83.64935894986768,330.0
208,-1.0,0.0,0.0,1.0,0.010790026541940669,0.010790026541940669,330.0
209,10.0,1.0,0.0,1.0,87.12257823915832,83.64905107867739,330.0
210,10.0,1.0,0.0,1.0,83.64874325856985,83.64874325856985,330.0
211,-1.0,0.0,0.0,1.0,0.08521802266347962,0.0107935228785676,330.0
212,-1.0,0.0,0.0,1.0,0.010794740996317692,0.010794740996317692,330.0
213,10.0,1.0,0.0,1.0,87.12215493434333,83.64863602642025,330.0
214,-1.0,0.0,0.0,1.0,0.01079823732331438,0.01079823732331438,330.0
215,-1.0,0.0,0.0,1.0,0.007063993848213091,0.01079823732331438,330.0
216,-1.0,0.0,0.0,1.0,0.010797405180743787,0.010797405180743787,330.0
217,-1.0,0.0,0.0,1.0,0.007064666483149951,0.010797405180743787,330.0
218,-1.0,0.0,0.0,1.0,0.010796573409413325,0.010796573409413325,330.0
219,10.0,1.0,0.0,1.0,87.12199042926142,83.64847472849213,330.0
220,-1.0,0.0,0.0,1.0,0.010800069728470762,0.010800069728470762,330.0
221,10.0,1.0,0.0,1.0,87.1216765864204,83.64816700431896,330.0
222,10.0,3.0,0.0,1.0,83.64785933115635,83.64785933115635,330.0
223,-1.0,0.0,0.0,1.0,0.08524623828422119,0.010803566040269776,328.0
224,-1.0,0.0,0.0,1.0,0.010804784515246428,0.010804784515246428,328.0
225,10.0,4.0,0.0,1.0,87.12125345053167,83.64775211799292,328.0
226,-1.0,0.0,0.0,1.0,0.010808280817425672,0.010808280817425672,325.0
227,-1.0,0.0,0.0,1.0,0.007055880052358101,0.010808280817425672,325.0
228,-1.0,0.0,0.0,1.0,0.010807444119457223,0.010807444119457223,325.0
229,-1.0,0.0,0.0,1.0,0.00705655566744618,0.010807444119457223,325.0
230,-1.0,0.0,0.0,1.0,0.01080660779506706,0.01080660779506706,325.0
231,10.0,1.0,0.0,1.0,87.12108984219147,83.647591699439,330.0
232,-1.0,0.0,0.0,1.0,0.010810104089351867,0.010810104089351867,330.0
233,10.0,1.0,0.0,1.0,87.12077614872243,83.64728412194629,330.0
234,10.0,1.0,0.0,1.0,83.64697659539225,83.64697659539225,330.0
235,-1.0,0.0,0.0,1.0,0.08527442067635733,0.010813600376387452,330.0
236,-1.0,0.0,0.0,1.0,0.010814819207989318,0.010814819207989318,330.0
237,10.0,1.0,0.0,1.0,87.12035318138511,83.64686940118287,330.0
238,-1.0,0.0,0.0,1.0,0.010818315485415524,0.010818315485415524,330.0
239,-1.0,0.0,0.0,1.0,0.007047781799067303,0.010818315485415524,330.0
240,-1.0,0.0,0.0,1.0,0.010817474232996942,0.010817474232996942,330.0
241,-1.0,0.0,0.0,1.0,0.0070484603874977295,0.010817474232996942,330.0
242,-1.0,0.0,0.0,1.0,0.010816633356497237,0.010816633356497237,330.0
243,10.0,1.0,0.0,1.0,87.12019046866787,83.64670986090468,330.0
244,-1.0,0.0,0.0,1.0,0.010820129626073672,0.010820129626073672,330.0
245,10.0,1.0,0.0,1.0,87.1198769242293,83.64640242975685,330.0
246,10.0,1.0,0.0,1.0,83.64609504947596,83.64609504947596,330.0
247,-1.0,0.0,0.0,1.0,0.08530256987802888,0.010823625888409898,330.0
248,-1.0,0.0,0.0,1.0,0.010824845076036805,0.010824845076036805,330.0
249,10.0,1.0,0.0,1.0,87.11945412506978,83.64598787418866,330.0
250,-1.0,0.0,0.0,1.0,0.010828341328774105,0.010828341328774105,330.0
251,-1.0,0.0,0.0,1.0,0.007039699053285986,0.010828341328774105,330.0
252,-1.0,0.0,0.0,1.0,0.010827495522855642,0.010827495522855642,330.0
253,-1.0,0.0,0.0,1.0,0.0070403806082713054,0.010827495522855642,330.0
254,-1.0,0.0,0.0,1.0,0.010826650095199118,0.010826650095199118,330.0
255,10.0,1.0,0.0,1.0,87.11929230685968,83.64582921109059,330.0
256,-1.0,0.0,0.0,1.0,0.01083014634013106,0.01083014634013106,330.0
257,10.0,1.0,0.0,1.0,87.11897891111121,83.64552192595312,330.0
258,10.0,1.0,0.0,1.0,83.64521469161109,83.64521469161109,330.0
259,-1.0,0.0,0.0,1.0,0.08533068592727812,0.010833642577831815,330.0
260,-1.0,0.0,0.0,1.0,0.010834862120884905,0.010834862120884905,330.0
261,10.0,1.0,0.0,1.0,87.1185562797569,83.64510753521394,330.0
262,-1.0,0.0,0.0,1.0,0.010838358348997034,0.010838358348997034,330.0
263,-1.0,0.0,0.0,1.0,0.00703163178006799,0.010838358348997034,330.0
264,-1.0,0.0,0.0,1.0,0.010837507990531544,0.010837507990531544,330.0
265,-1.0,0.0,0.0,1.0,0.007032316294841935,0.010837507990531544,330.0
266,-1.0,0.0,0.0,1.0,0.010836658012673436,0.010836658012673436,330.0
267,10.0,1.0,0.0,1.0,87.11839535494113,83.64494974820332,330.0
268,-1.0,0.0,0.0,1.0,0.010840154233024417,0.010840154233024417,330.0
269,10.0,1.0,0.0,1.0,87.11808210754344,83.64464260874271,330.0
270,10.0,1.0,0.0,1.0,83.6443355200063,83.6443355200063,330.0
271,-1.0,0.0,0.0,1.0,0.08535876886204939,0.010843650446153222,330.0
272,-1.0,0.0,0.0,1.0,0.010844870344034876,0.010844870344034876,330.0
273,10.0,1.0,0.0,1.0,87.11765964362299,83.6442283824674,330.0
274,-1.0,0.0,0.0,1.0,0.010848366547585232,0.010848366547585232,330.0
275,-1.0,0.0,0.0,1.0,0.00702357994457536,0.010848366547585232,330.0
276,-1.0,0.0,0.0,1.0,0.010847511637528002,0.010847511637528002,330.0
277,-1.0,0.0,0.0,1.0,0.007024267412392921,0.010847511637528002,330.0
278,-1.0,0.0,0.0,1.0,0.010846657110426084,0.010846657110426084,330.0
279,10.0,1.0,0.0,1.0,87.11749961109169,83.64407147045452,330.0
280,-1.0,0.0,0.0,1.0,0.01085015330625943,0.01085015330625943,330.0
281,10.0,1.0,0.0,1.0,87.11718651170645,83.6437644763383,330.0
282,10.0,2.0,0.0,1.0,83.64345753287536,83.64345753287536,330.0
283,-1.0,0.0,0.0,1.0,0.08538681872018947,0.01085364949487944,329.0
284,-1.0,0.0,0.0,1.0,0.010854869746993307,0.010854869746993307,329.0
285,10.0,1.0,0.0,1.0,87.11676421484965,83.64335041416292,329.0
286,-1.0,0.0,0.0,1.0,0.01085836592604506,0.01085836592604506,329.0
287,-1.0,0.0,0.0,1.0,0.007015543512077868,0.01085836592604506,329.0
288,-1.0,0.0,0.0,1.0,0.010857506465353993,0.010857506465353993,329.0
289,-1.0,0.0,0.0,1.0,0.007016233926215061,0.010857506465353993,329.0
290,-1.0,0.0,0.0,1.0,0.010856647389968537,0.010856647389968537,329.0
291,10.0,1.0,0.0,1.0,87.11660507349583,83.64319437606085,330.0
292,-1.0,0.0,0.0,1.0,0.010860143561347204,0.010860143561347204,330.0
293,10.0,1.0,0.0,1.0,87.11629212178585,83.64288752695768,330.0
294,10.0,1.0,0.0,1.0,83.64258072843695,83.64258072843695,330.0
295,-1.0,0.0,0.0,1.0,0.08541483553944887,0.010863639725521493,330.0
296,-1.0,0.0,0.0,1.0,0.010864860331272482,0.010864860331272482,330.0
297,10.0,2.0,0.0,1.0,87.11586999162354,83.64247362851927,330.0
298,-1.0,0.0,0.0,1.0,0.010868356485888601,0.010868356485888601,329.0
299,-1.0,0.0,0.0,1.0,0.007007522447952134,0.010868356485888601,329.0
300,-1.0,0.0,0.0,1.0,0.010867492475523972,0.010867492475523972,329.0
301,-1.0,0.0,0.0,1.0,0.007008215801706199,0.010867492475523972,329.0
302,-1.0,0.0,0.0,1.0,0.010866628852818009,0.010866628852818009,329.0
303,10.0,1.0,0.0,1.0,87.11571174034316,83.64231846324397,330.0
304,-1.0,0.0,0.0,1.0,0.01087012499980468,0.01087012499980468,330.0
305,10.0,1.0,0.0,1.0,87.11539893597231,83.64201175882349,330.0
306,10.0,1.0,0.0,1.0,83.64170510491492,83.64170510491492,330.0
307,-1.0,0.0,0.0,1.0,0.08544281935748181,0.010873621139595701,330.0
308,-1.0,0.0,0.0,1.0,0.0108748420983899,0.0108748420983899,330.0
309,10.0,1.0,0.0,1.0,87.1149769721365,83.64159802376031,330.0
310,-1.0,0.0,0.0,1.0,0.010878338228632939,0.010878338228632939,330.0
311,-1.0,0.0,0.0,1.0,0.006999516717682059,0.010878338228632939,330.0
312,-1.0,0.0,0.0,1.0,0.010877469669557865,0.010877469669557865,330.0
313,-1.0,0.0,0.0,1.0,0.007000213004370824,0.010877469669557865,330.0
314,-1.0,0.0,0.0,1.0,0.010876601500496701,0.010876601500496701,330.0
315,10.0,1.0,0.0,1.0,87.11481960982844,83.6414437302306,330.0
316,-1.0,0.0,0.0,1.0,0.010880097623153787,0.010880097623153787,330.0
317,10.0,1.0,0.0,1.0,87.11450695246158,83.64113717016347,330.0
318,10.0,1.0,0.0,1.0,83.64083066053794,83.64083066053794,330.0
319,-1.0,0.0,0.0,1.0,0.08547077021184656,0.010883593738623971,330.0
320,-1.0,0.0,0.0,1.0,0.010884815049868787,0.010884815049868787,330.0
321,10.0,1.0,0.0,1.0,87.11408515458542,83.64072359811483,330.0
322,-1.0,0.0,0.0,1.0,0.010888311155800967,0.010888311155800967,330.0
323,-1.0,0.0,0.0,1.0,0.006991526286857324,0.010888311155800967,330.0
324,-1.0,0.0,0.0,1.0,0.010887438048981036,0.010887438048981036,330.0
325,-1.0,0.0,0.0,1.0,0.006992225499819559,0.010887438048981036,330.0
326,-1.0,0.0,0.0,1.0,0.010886565334532836,0.010886565334532836,330.0
327,10.0,1.0,0.0,1.0,87.11392868015139,83.64057017525238,330.0
328,-1.0,0.0,0.0,1.0,0.010890061432922373,0.010890061432922373,330.0
329,10.0,1.0,0.0,1.0,87.11361616945449,83.64026375921034,330.0
330,10.0,1.0,0.0,1.0,83.63995739353979,83.63995739353979,330.0
331,-1.0,0.0,0.0,1.0,0.08549868814000676,0.010893557524133816,330.0
332,-1.0,0.0,0.0,1.0,0.010894779187237906,0.010894779187237906,330.0
333,10.0,1.0,0.0,1.0,87.11319453717218,83.63985034981664,330.0
334,-1.0,0.0,0.0,1.0,0.0108982752689212,0.0108982752689212,330.0
335,-1.0,0.0,0.0,1.0,0.006983551121173452,0.0108982752689212,330.0
336,-1.0,0.0,0.0,1.0,0.010897397615324544,0.010897397615324544,330.0
337,-1.0,0.0,0.0,1.0,0.00698425325376864,0.010897397615324544,330.0
338,-1.0,0.0,0.0,1.0,0.010896520356459976,0.010896520356459976,330.0
339,10.0,3.0,0.0,1.0,87.11303894951679,83.6396977965459,330.0
340,-1.0,0.0,0.0,1.0,0.010900016430643858,0.010900016430643858,328.0
341,10.0,3.0,0.0,1.0,87.11272658515678,83.63939152420166,328.0
342,10.0,1.0,0.0,1.0,83.63908530215906,83.63908530215906,326.0
343,-1.0,0.0,0.0,1.0,0.08552657317933125,0.01090351249765826,326.0
344,-1.0,0.0,0.0,1.0,0.010904734512031314,0.010904734512031314,326.0
345,10.0,1.0,0.0,1.0,87.1123051181037,83.63897827710441,326.0
346,-1.0,0.0,0.0,1.0,0.010908230569527616,0.010908230569527616,326.0
347,-1.0,0.0,0.0,1.0,0.006975591186431248,0.010908230569527616,326.0
