A,D,expected_loss,expected_damage,expected_loss_for_win,expected_damage_despite_loss
3,3,1.49537747264,2.41172460736,1.0874501779199999,1.9125498220800001
3,4,1.758624029568,2.9650312664319998,1.3846977527039999,2.153736329728
3,5,2.181388643558528,3.246897864857472,1.913019347635584,1.81163442060736
3,6,2.3443205325508525,3.5383654199480916,2.124369816020557,1.7512603679588858
3,7,2.5771966998853943,3.681700392192442,2.4284621506923423,1.3335883150512011
3,8,2.6656007999830638,3.8301117605940775,2.548499073357192,1.2040024710474888
3,9,2.786447245996975,3.902000695918446,2.709076207723932,0.8727713768282042
3,10,2.832039814210112,3.9764865406779006,2.7721226615789285,0.7595911280702379
2,1,0.6680259999999999,0.7539739999999999,0.49205199999999993,0.7539739999999999
2,2,1.408892,0.915108,1.273784,0.726216
2,3,1.6619924959999999,1.068519504,1.587552992,0.6186705119999999
2,4,1.856510748272,1.100560435728,1.816989496544,0.366021006912
2,5,1.9207202656450881,1.134345063090912,1.901534035290176,0.24616491177455999
2,6,1.9667220886515164,1.1413473238554277,1.9571488813030329,0.1285533560909019
2,7,1.9817813806306372,1.1489732386901266,1.9772640801732744,0.07957571939353993
2,8,1.9923763548686892,1.1505502011726088,1.9901573822493785,0.039370471002486175
2,9,1.9958369393224458,1.152283943300076,1.9947977793568274,0.023409992894276522
2,10,1.998259468182881,1.1526422292665517,1.997751201698498,0.011243991507511018
1,1,0.5830,0.4170,0.5830,0.4170
1,2,0.894082,0.35991799999999996,0.894082,0.211836
1,3,0.9730968280000001,0.345419172,0.9730968280000001,0.080709516
1,4,0.993166594312,0.34173646968800003,0.993166594312,0.027333622752
1,5,0.998264314955248,0.340801063300752,0.998264314955248,0.00867842522376
1,6,0.999559135998633,0.34056347007839105,0.999559135998633,0.002645184008202048
1,7,0.9998880205436528,0.34050312139991135,0.9998880205436528,7.838561944305402E-4
1,8,0.9999715572180878,0.3404877928355775,0.9999715572180878,2.2754225529755112E-4
1,9,0.9999927755333944,0.3404838993802367,0.9999927755333944,6.502019945127524E-5
1,10,0.9999981649854821,0.34048291044258017,0.9999981649854821,1.8350145178471013E-5
